ProdFin;StockNmb;InitDate;FinDate;Quantity;InitUnitPrice;FinUnitPrice;Currency;Banco;Cupao;ProdType;YahooSymbol;Owning;ProdCodeBank1;ProdCodeBank2
XS2713902380;1;25/10/2024;;10;300;;EUR;BANKINTER;0;1;;1;;
XS2777488276;1;22/09/2023;;10;1000;;EUR;BANKINTER;0;1;;1;;
XS2818093002;1;03/01/2024;;10;1000;;EUR;BANKINTER;0;1;;1;;
XS2859894854;1;28/03/2024;;10;1000;;EUR;BANKINTER;0;1;;1;;
XS2906200071;1;28/06/2024;;15;1000;;EUR;BANKINTER;0;1;;1;;
XS2787876486;1;30/04/2024;;10;1000;;EUR;BANKINTER2;0;1;;1;;
XS2808541747;1;31/05/2024;;10;1000;;EUR;BANKINTER2;0;1;;1;;
XS2843836052;1;26/07/2024;;10;1000;;EUR;BANKINTER2;0;1;;1;;
XS2871016940;1;27/09/2024;;10;1000;;EUR;BANKINTER2;0;1;;1;;
XS2922085290;1;29/11/2024;;10;1000;;EUR;BANKINTER2;0;1;;1;;
XS2938737470;1;03/01/2025;;15;1000;;EUR;BANKINTER2;0;1;;1;;
